folio,ordenvehiculo,tipovehiculo,ordenconductor,marcavehiculo,anovehiculo,combustiblevehiculo,situacionvehiculo,vehiculotrabajo,factorexpansiona
12052,2,Camioneta o vehiculo todo terreno,2,Fiat,2008,Gasolina,Propia (del hogar),Si,"13,272"
12061,1,Camioneta o vehiculo todo terreno,1,Suzuki,2006,Gasolina,Propia (del hogar),No,"10,476"
12061,2,Camioneta o vehiculo todo terreno,2,Suzuki,2016,Gasolina,Propia (del hogar),No,"10,476"
12062,1,Auto,2,Toyota,2012,Gasolina,Propia (del hogar),No,"10,476"
12071,1,Camioneta o vehiculo todo terreno,1,Nissan,1989,Gasolina,Propia (del hogar),No,"10,476"
12072,1,Auto,2,Chevrolet,2017,Diesel,Propia (del hogar),Si,"10,476"
12082,1,Auto,1,Renault,2014,Diesel,Propia (del hogar),No,"10,5"
12082,2,Camioneta o vehiculo todo terreno,2,Great wall,2018,Diesel,Propia (del hogar),Si,"10,5"
12092,1,Camioneta o vehiculo todo terreno,1,Mitsubishi,2014,Diesel,Propia (del hogar),No,"11,122"
12112,1,Camioneta o vehiculo todo terreno,1,Suzuki,2020,Gasolina,Propia (del hogar),No,"11,122"
12121,1,Camioneta o vehiculo todo terreno,1,Jeep,2014,Gasolina,Propia (del hogar),No,"11,122"
12122,1,Auto,1,Fiat,2019,Gasolina,Propia (del hogar),No,"11,122"
12141,1,Camioneta o vehiculo todo terreno,1,Ssangyong,2014,Diesel,Propia (del hogar),No,"11,122"
12151,1,Camioneta o vehiculo todo terreno,1,Great wall,2021,Diesel,Propia (del hogar),No,"10,5"
12161,1,Auto,2,Chevrolet,2019,Gasolina,Propia (del hogar),No,"10,5"
12162,1,Camioneta o vehiculo todo terreno,1,Chevrolet,2018,Gasolina,Propia (del hogar),No,"10,5"
12172,1,Camioneta o vehiculo todo terreno,1,Nissan,2008,Diesel,Propia (del hogar),No,"10,5"
12192,1,Auto,3,Jeep,2008,Diesel,Propia (del hogar),Si,"12,977"
12201,1,Camioneta o vehiculo todo terreno,1,Ford,2018,Gasolina,Propia (del hogar),No,"12,977"
12201,2,Camioneta o vehiculo todo terreno,2,Mazda,2017,Diesel,Propia (del hogar),No,"12,977"
12201,3,Camion,2,Hyundai,2020,Diesel,Propia (del hogar),No,"12,977"
12211,1,Auto,3,Subaru,2005,Gasolina,Propia (del hogar),No,"16,35"
12212,1,Camion,2,Hyundai,1997,Diesel,Propia (del hogar),No,"16,35"
12221,1,"Taxi, Radiotaxi, taxi colectivo",3,Chevrolet,2012,Gasolina,Propia (del hogar),Si,"16,35"
12222,1,Camioneta o vehiculo todo terreno,1,Great wall,2013,Gasolina,Propia (del hogar),No,"16,35"
12261,1,Auto,1,Suzuki,2021,Gasolina,Propia (del hogar),Si,"10,5"
12262,1,Camioneta o vehiculo todo terreno,1,Great wall,2019,Gasolina,Propia (del hogar),No,"10,5"
12272,1,Auto,1,Ssangyong,2007,Diesel,Propia (del hogar),No,"10,476"
12281,1,Auto,1,Hyundai,2016,Gasolina,Propia (del hogar),No,"10,476"
12282,1,Auto,2,Changan,2022,Gasolina,Propia (del hogar),No,"10,476"
12292,1,Auto,1,Toyota,2013,Gasolina,Propia (del hogar),No,"12,977"
12311,1,Furgon utilitario,1,Chevrolet,2015,Gasolina,Propia (del hogar),Si,"13,272"
12312,1,Auto,1,Jac,2022,Gasolina,Propia (del hogar),No,"13,272"
12331,1,Auto,1,Chevrolet,2014,Gasolina,Propia (del hogar),Si,"13,272"
12341,1,Auto,2,Jac,2016,Gasolina,Propia (del hogar),No,"13,272"
12351,1,Auto,1,Mazda,2015,Gasolina,Propia (del hogar),No,"13,272"
12362,1,Auto,1,Ford,2017,Gasolina,Propia (del hogar),No,"13,272"
12382,1,Van o minivan,1,Hyundai,2017,Gasolina,Propia (del hogar),No,"13,272"
12382,2,Auto,2,Mazda,2019,Gasolina,Propia (del hogar),No,"13,272"
12392,1,Auto,1,Hyundai,2018,Gasolina,Propia (del hogar),No,"13,272"
12421,1,Auto,3,Dahiatsu,1982,Gasolina,Propia (del hogar),No,"13,272"
12422,1,Auto,1,Jac,2022,Diesel,Propia (del hogar),No,"13,272"
12431,1,Auto,1,Chevrolet,2012,Gasolina,Propia (del hogar),No,"13,272"
12431,2,Camioneta o vehiculo todo terreno,2,Hyundai,2014,Diesel,Propia (del hogar),No,"13,272"
12432,1,Camioneta o vehiculo todo terreno,1,Nissan,2006,Diesel,Propia (del hogar),No,"13,272"
12442,1,Auto,2,Mazda,2006,Gasolina,Propia (del hogar),No,"13,272"
12451,1,Auto,3,Chevrolet,1999,Gasolina,Propia (del hogar),No,"19,511"
12472,1,Auto,2,Hyundai,2012,Diesel,Propia (del hogar),No,"19,511"
12481,1,Auto,1,Mazda,2015,Diesel,Propia (del hogar),No,"19,511"
12491,1,Auto,1,Toyota,1995,Gasolina,Propia (del hogar),No,"19,511"
12501,1,Camioneta o vehiculo todo terreno,2,Nissan,1994,Diesel,Propia (del hogar),No,"19,511"
12512,1,Camioneta o vehiculo todo terreno,1,Hyundai,2018,Diesel,Propia (del hogar),No,"19,511"
12521,1,Auto,1,Mitsubishi,1997,Diesel,Propia (del hogar),No,"19,511"
12522,1,Camioneta o vehiculo todo terreno,1,Mazda,2019,Gasolina,Propia (del hogar),No,"19,511"
12531,1,Auto,3,Datsub,1990,Gasolina,Propia (del hogar),No,"13,272"
12541,1,Camioneta o vehiculo todo terreno,1,Great wall,2019,Diesel,Propia (del hogar),No,"13,272"
12542,1,Auto,1,Chevrolet,2019,Gasolina,Propia (del hogar),No,"13,272"
12542,2,Auto,2,Suzuki,2011,Gasolina,Propia (del hogar),No,"13,272"
12551,1,Auto,1,Geely,2013,Gasolina,Propia (del hogar),No,"13,272"
15121,1,Auto,1,MG,2021,Gasolina,Propia (del hogar),No,"11,122"
15141,1,Auto,1,Chevrolet,2015,Gasolina,Propia (del hogar),No,"11,122"
15151,1,Auto,1,Peugeot,2016,Gasolina,Propia (del hogar),No,"12,977"
15151,2,Auto,2,Suzuki,2020,Gasolina,Propia (del hogar),No,"12,977"
15161,1,Camioneta o vehiculo todo terreno,2,Chevrolet,2019,Diesel,Propia (del hogar),No,"10,5"
15161,2,Camioneta o vehiculo todo terreno,3,Chery,2021,Gasolina,Propia (del hogar),No,"10,5"
15171,1,Auto,2,Toyota,2019,Gasolina,Propia (del hogar),No,"13,272"
