Folio,ordenpersona,ordenviaje,Proposito,PropositoVC,Proposito_e,OrigenActividadComuna,OrigenActividadCalle,OrigenActividadNumero,OrigenActividadInterCalle,OrigenActividadHito,LugarActividadComuna,LugarActividadCalle,LugarActividadNumero,LugarActividadInterCalle,LugarActividadHito,ActividadEmpresa,TipoAsiento,ModoEtapa1,ModoEtapa2,ModoEtapa3,ModoEtapa4,ModoEtapa5,CuadrasCaminadasDespues,MinutosCaminadosDespues,HoraLlegadaHora,HoraLlegadaMinuto,HoraVolvioSalirHora,HoraVolvioSalirMinuto,Coord_OrigenViaje,Zona_OrigenViaje,Sector_OrigenViaje,HoraSalida,Coord_DestinoViaje,Zona_DestinoViaje,Sector_DestinoViaje,HoraLlegada,TiempoViaje,Distancia,Periodo,NumeroEtapasViaje,HoraMediaViaje,ModoAgregado,PropositoAgregado,FactorExpansionV,codActividadEmpresa,codModoEtapa1,codModoEtapa2,codModoEtapa3,codModoEtapa4,codModoEtapa5,codPeriodo,codProposito
10011,3,1,1,null,,NATALES,BARROS ARANA,93,.,.,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,2,null,13,null,null,null,null,7,12,10,2,13,0,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 9:50:00,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 10:02:00,30-12-1899 0:12:00,null,1,1,30-12-1899 9:56:00,1,1,"8,531",,,,,,,,
10011,3,2,7,1,,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,NATALES,BARROS ARANA,93,.,.,null,null,13,null,null,null,null,7,15,13,15,14,50,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 13:00:00,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 13:15:00,30-12-1899 0:15:00,null,3,1,30-12-1899 13:07:30,1,3,"8,531",,,,,,,,
10011,3,3,1,null,,NATALES,BARROS ARANA,93,.,.,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,2,null,13,null,null,null,null,7,10,15,0,19,30,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 14:50:00,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 15:00:00,30-12-1899 0:10:00,null,2,1,30-12-1899 14:55:00,1,1,"8,531",,,,,,,,
10011,3,4,7,1,,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,NATALES,BARROS ARANA,93,.,.,null,null,13,null,null,null,null,7,10,19,40,99,99,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 19:30:00,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 19:40:00,30-12-1899 0:10:00,null,4,1,30-12-1899 19:35:00,1,3,"8,531",,,,,,,,
10012,1,1,11,null,,NATALES,CARLOS BORIES,148,.,.,NATALES,BAQUEDANO,SN,BULNES Y ESMERALDA,CENTRO,null,1,1,null,null,null,null,1,3,11,15,12,20,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 11:00:00,"-51.7269644, -72.5013941",14,3.Centro,30-12-1899 11:15:00,30-12-1899 0:15:00,null,2,1,30-12-1899 11:07:30,3,3,"3,879",,,,,,,,
10012,1,2,7,11,,NATALES,BAQUEDANO,SN,BULNES Y ESMERALDA,CENTRO,NATALES,CARLOS BORIES,148,.,.,null,1,1,null,null,null,null,1,3,12,30,99,99,"-51.7269644, -72.5013941",14,3.Centro,30-12-1899 12:20:00,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 12:30:00,30-12-1899 0:10:00,null,3,1,30-12-1899 12:25:00,3,3,"3,879",,,,,,,,
10021,1,1,1,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,MANUEL BULNES,802,GALVARINO Y RAMIREZ,INSPECCION DEL TRABAJO,7,1,1,null,null,null,null,0,1,7,55,13,0,"-51.72773,-72.50922",3,3.Centro,30-12-1899 7:40:00,"-51.72655, -72.49956",14,3.Centro,30-12-1899 7:55:00,30-12-1899 0:15:00,null,1,1,30-12-1899 7:47:30,3,1,"7,638",,,,,,,,
10021,1,2,8,null,,NATALES,MANUEL BULNES,802,GALVARINO Y RAMIREZ,INSPECCION DEL TRABAJO,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,13,10,13,12,"-51.72655, -72.49956",14,3.Centro,30-12-1899 13:00:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:10:00,30-12-1899 0:10:00,null,3,1,30-12-1899 13:05:00,3,3,"7,638",,,,,,,,
10021,1,3,7,8,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,13,20,14,10,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:12:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 13:20:00,30-12-1899 0:08:00,null,3,1,30-12-1899 13:16:00,3,3,"7,638",,,,,,,,
10021,1,4,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,14,15,14,20,"-51.72773,-72.50922",3,3.Centro,30-12-1899 14:10:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:15:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:12:30,3,3,"7,638",,,,,,,,
10021,1,5,7,8,,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,15,0,17,15,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:20:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 15:00:00,30-12-1899 0:40:00,null,2,1,30-12-1899 14:40:00,3,3,"7,638",,,,,,,,
10021,1,6,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,17,20,17,25,"-51.72773,-72.50922",3,3.Centro,30-12-1899 17:15:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 17:20:00,30-12-1899 0:05:00,null,2,1,30-12-1899 17:17:30,3,3,"7,638",,,,,,,,
10021,1,7,7,8,,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,17,30,19,0,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 17:25:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 17:30:00,30-12-1899 0:05:00,null,2,1,30-12-1899 17:27:30,3,3,"7,638",,,,,,,,
10021,1,8,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,AVDA. LIBERTAD,SN,PILAR BORQUEZ,POLIDEPORTIVP,null,1,1,null,null,null,null,0,1,19,10,19,12,"-51.72773,-72.50922",3,3.Centro,30-12-1899 19:00:00,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 19:10:00,30-12-1899 0:10:00,null,4,1,30-12-1899 19:05:00,3,3,"7,638",,,,,,,,
10021,1,9,7,8,,NATALES,AVDA. LIBERTAD,SN,PILAR BORQUEZ,POLIDEPORTIVP,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,19,20,20,15,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 19:12:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 19:20:00,30-12-1899 0:08:00,null,4,1,30-12-1899 19:16:00,3,3,"7,638",,,,,,,,
10021,1,10,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,AVDA. LIBERTAD,SN,PILAR BORQUEZ,POLIDEPORTIVP,null,1,1,null,null,null,null,0,1,20,20,20,21,"-51.72773,-72.50922",3,3.Centro,30-12-1899 20:15:00,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 20:20:00,30-12-1899 0:05:00,null,5,1,30-12-1899 20:17:30,3,3,"7,638",,,,,,,,
10021,1,11,7,8,,NATALES,AVDA. LIBERTAD,SN,PILAR BORQUEZ,POLIDEPORTIVP,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,20,30,99,99,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 20:21:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 20:30:00,30-12-1899 0:09:00,null,5,1,30-12-1899 20:25:30,3,3,"7,638",,,,,,,,
10021,3,1,3,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO PTO. NATALES,null,2,1,null,null,null,null,0,1,7,50,13,0,"-51.72773,-72.50922",3,3.Centro,30-12-1899 7:40:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 7:50:00,30-12-1899 0:10:00,null,1,1,30-12-1899 7:45:00,3,2,"7,179",,,,,,,,
10021,3,2,7,3,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO PTO. NATALES,NATALES,TOMAS ROGERS,255,.,.,null,2,1,null,null,null,null,0,1,13,20,14,10,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:00:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 13:20:00,30-12-1899 0:20:00,null,3,1,30-12-1899 13:10:00,3,3,"7,179",,,,,,,,
10021,3,3,3,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO PTO. NATALES,null,2,1,null,null,null,null,0,1,14,15,17,15,"-51.72773,-72.50922",3,3.Centro,30-12-1899 14:10:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:15:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:12:30,3,2,"7,179",,,,,,,,
10021,3,4,7,3,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO PTO. NATALES,NATALES,TOMAS ROGERS,255,.,.,null,2,1,null,null,null,null,0,1,17,30,19,0,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 17:15:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 17:30:00,30-12-1899 0:15:00,null,2,1,30-12-1899 17:22:30,3,3,"7,179",,,,,,,,
10021,3,5,13,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,AVDA. LIBERTAD,SB,PILAR BORQUEZ,POLIDEPORTIVO,null,2,1,null,null,null,null,0,1,19,10,20,15,"-51.72773,-72.50922",3,3.Centro,30-12-1899 19:00:00,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 19:10:00,30-12-1899 0:10:00,null,4,1,30-12-1899 19:05:00,3,3,"7,179",,,,,,,,
10021,3,6,7,13,,NATALES,AVDA. LIBERTAD,SB,PILAR BORQUEZ,POLIDEPORTIVO,NATALES,TOMAS ROGERS,255,.,.,null,2,1,null,null,null,null,0,1,20,30,99,99,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 20:15:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 20:30:00,30-12-1899 0:15:00,null,5,1,30-12-1899 20:22:30,3,3,"7,179",,,,,,,,
10022,4,1,11,null,,NATALES,MAGALLANES,236,.,.,NATALES,M. BULNES,SN,RAMIREZ Y BAQUEDANO,UNIMARC,null,null,13,null,null,null,null,3,5,12,5,12,30,"-51.72773,-72.50922",3,3.Centro,30-12-1899 12:00:00,"-51.7267044, -72.4996918",14,3.Centro,30-12-1899 12:05:00,30-12-1899 0:05:00,null,3,1,30-12-1899 12:02:30,1,3,"49,285",,,,,,,,
10022,4,2,7,11,,NATALES,M. BULNES,SN,RAMIREZ Y BAQUEDANO,UNIMARC,NATALES,MAGALLANES,236,.,.,null,null,13,null,null,null,null,7,40,13,15,99,99,"-51.7267044, -72.4996918",14,3.Centro,30-12-1899 12:30:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 13:15:00,30-12-1899 0:45:00,null,3,1,30-12-1899 12:52:30,1,3,"49,285",,,,,,,,
10031,1,1,1,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,AGUAS MAGALLANES,S N,PILOTO PARDO,PLANTA DE AGUAS SERVIDAS,5,1,1,null,null,null,null,0,2,7,45,19,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 7:00:00,"-51.7323883, -72.4838190999999",39,5.Residencial Sur,30-12-1899 7:45:00,30-12-1899 0:45:00,null,5,1,30-12-1899 7:22:30,3,1,"30,917",,,,,,,,
10031,1,2,7,1,,NATALES,AGUAS MAGALLANES,S N,PILOTO PARDO,PLANTA DE AGUAS SERVIDAS,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,19,20,99,99,"-51.7323883, -72.4838190999999",39,5.Residencial Sur,30-12-1899 19:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 19:20:00,30-12-1899 0:20:00,null,4,1,30-12-1899 19:10:00,3,3,"30,917",,,,,,,,
10031,2,1,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,7,55,8,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 7:50:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 7:55:00,30-12-1899 0:05:00,null,1,1,30-12-1899 7:52:30,3,3,"30,003",,,,,,,,
10031,2,2,7,8,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,8,5,8,40,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 8:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 8:05:00,30-12-1899 0:05:00,null,1,1,30-12-1899 8:02:30,3,3,"30,003",,,,,,,,
10031,2,3,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,CAM. PTO. BORIES,S N,UMAG Y CAFE LA CALDERA,COLEGIO,null,1,1,null,null,null,null,0,2,8,50,8,55,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 8:40:00,"-51.710756,-72.508089",0,0.Zona Externa,30-12-1899 8:50:00,30-12-1899 0:10:00,null,1,1,30-12-1899 8:45:00,3,3,"30,003",,,,,,,,
10031,2,4,7,8,,NATALES,CAM. PTO. BORIES,S N,UMAG Y CAFE LA CALDERA,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,9,0,9,50,"-51.710756,-72.508089",0,0.Zona Externa,30-12-1899 8:55:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 9:00:00,30-12-1899 0:05:00,null,1,1,30-12-1899 8:57:30,3,3,"30,003",,,,,,,,
10031,2,5,13,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,ARAUCO,S N,ARAUCO ESQ. BLANCO ENCALADA,GIMNASIO,null,1,1,null,null,null,null,1,3,9,57,10,45,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 9:50:00,"-51.7335943, -72.5000764",30,2.Residencial Central,30-12-1899 9:57:00,30-12-1899 0:07:00,null,1,1,30-12-1899 9:53:30,3,3,"30,003",,,,,,,,
10031,2,6,7,13,,NATALES,ARAUCO,S N,ARAUCO ESQ. BLANCO ENCALADA,GIMNASIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,11,0,12,40,"-51.7335943, -72.5000764",30,2.Residencial Central,30-12-1899 10:45:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 11:00:00,30-12-1899 0:15:00,null,2,1,30-12-1899 10:52:30,3,3,"30,003",,,,,,,,
10031,2,7,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,D AGOSTINI Y OVEJERO,COLEGIO,null,1,1,null,null,null,null,0,1,12,45,13,15,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 12:40:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 12:45:00,30-12-1899 0:05:00,null,3,1,30-12-1899 12:42:30,3,3,"30,003",,,,,,,,
10031,2,8,7,8,,NATALES,SIMON BOLIVAR,1463,D AGOSTINI Y OVEJERO,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,13,20,13,50,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:15:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 13:20:00,30-12-1899 0:05:00,null,3,1,30-12-1899 13:17:30,3,3,"30,003",,,,,,,,
10031,2,9,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,CAM. PTO. BORIES,S N,UMAG Y CAFE LA CALDERA,COLEGIO,null,1,1,null,null,null,null,0,2,14,10,14,15,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 13:50:00,"-51.710756,-72.508089",0,0.Zona Externa,30-12-1899 14:10:00,30-12-1899 0:20:00,null,3,1,30-12-1899 14:00:00,3,3,"30,003",,,,,,,,
10031,2,10,7,8,,NATALES,CAM. PTO. BORIES,S N,UMAG Y CAFE LA CALDERA,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,14,20,14,30,"-51.710756,-72.508089",0,0.Zona Externa,30-12-1899 14:15:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 14:20:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:17:30,3,3,"30,003",,,,,,,,
10031,2,11,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,D AGOSTINI Y OVEJERO,COLEGIO,null,1,1,null,null,null,null,0,1,14,35,14,40,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 14:30:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:35:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:32:30,3,3,"30,003",,,,,,,,
10031,2,12,7,8,,NATALES,SIMON BOLIVAR,1463,D AGOSTINI Y OVEJERO,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,14,45,15,50,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:40:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 14:45:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:42:30,3,3,"30,003",,,,,,,,
10031,2,13,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,D AGOSTINI Y OVEJERO,COLEGIO,null,1,1,null,null,null,null,0,1,15,55,16,10,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 15:50:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 15:55:00,30-12-1899 0:05:00,null,2,1,30-12-1899 15:52:30,3,3,"30,003",,,,,,,,
10031,2,14,7,8,,NATALES,SIMON BOLIVAR,1463,D AGOSTINI Y OVEJERO,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,16,15,17,55,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 16:10:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 16:15:00,30-12-1899 0:05:00,null,2,1,30-12-1899 16:12:30,3,3,"30,003",,,,,,,,
10031,2,15,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,CASA PARTICULAR,null,1,1,null,null,null,null,0,1,18,0,18,5,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 17:55:00,"-51.7336435, -72.4930546",38,5.Residencial Sur,30-12-1899 18:00:00,30-12-1899 0:05:00,null,2,1,30-12-1899 17:57:30,3,3,"30,003",,,,,,,,
10031,2,16,7,8,,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,CASA PARTICULAR,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,18,10,19,5,"-51.7336435, -72.4930546",38,5.Residencial Sur,30-12-1899 18:05:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 18:10:00,30-12-1899 0:05:00,null,4,1,30-12-1899 18:07:30,3,3,"30,003",,,,,,,,
10031,2,17,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,CASA PARTICULAR,null,1,1,null,null,null,null,0,1,19,10,19,15,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 19:05:00,"-51.7336435, -72.4930546",38,5.Residencial Sur,30-12-1899 19:10:00,30-12-1899 0:05:00,null,4,1,30-12-1899 19:07:30,3,3,"30,003",,,,,,,,
10031,2,18,7,8,,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,CASA PARTICULAR,NATALES,AVENIDA LIBERTAD,556,.,.,null,1,1,null,null,null,null,0,1,19,20,99,99,"-51.7336435, -72.4930546",38,5.Residencial Sur,30-12-1899 19:15:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 19:20:00,30-12-1899 0:05:00,null,4,1,30-12-1899 19:17:30,3,3,"30,003",,,,,,,,
10031,3,1,3,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,2,1,null,null,null,null,0,3,7,55,13,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 7:50:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 7:55:00,30-12-1899 0:05:00,null,1,1,30-12-1899 7:52:30,3,2,"21,514",,,,,,,,
10031,3,2,7,3,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,2,1,null,null,null,null,0,1,13,5,14,20,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 13:05:00,30-12-1899 0:05:00,null,3,1,30-12-1899 13:02:30,3,3,"21,514",,,,,,,,
10031,3,3,3,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,2,1,null,null,null,null,0,3,14,25,16,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 14:20:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:25:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:22:30,3,2,"21,514",,,,,,,,
10031,3,4,7,3,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,2,1,null,null,null,null,0,1,16,10,99,99,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 16:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 16:10:00,30-12-1899 0:10:00,null,2,1,30-12-1899 16:05:00,3,3,"21,514",,,,,,,,
10031,4,1,3,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,CAM. PUERTO BORIES,SN,UMAG Y CAFE LA CALDERA,KALEM,null,2,1,null,null,null,null,0,2,8,55,14,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 8:40:00,"-51.710756,-72.508089",0,0.Zona Externa,30-12-1899 8:55:00,30-12-1899 0:15:00,null,1,1,30-12-1899 8:47:30,3,2,"27,547",,,,,,,,
10031,4,2,7,3,,NATALES,CAM. PUERTO BORIES,SN,UMAG Y CAFE LA CALDERA,KALEM,NATALES,AVENIDA LIBERTAD,556,.,.,null,2,1,null,null,null,null,0,1,14,10,17,55,"-51.710756,-72.508089",0,0.Zona Externa,30-12-1899 14:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 14:10:00,30-12-1899 0:10:00,null,3,1,30-12-1899 14:05:00,3,3,"27,547",,,,,,,,
10031,4,3,14,null,CLASES PARTICULARES,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,PARTICULAR,null,2,1,null,null,null,null,0,1,18,0,19,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 17:55:00,"-51.7263385, -72.5042138",4,3.Centro,30-12-1899 18:00:00,30-12-1899 0:05:00,null,2,1,30-12-1899 17:57:30,3,3,"27,547",,,,,,,,
10031,4,4,7,14,,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,PARTICULAR,NATALES,AVENIDA LIBERTAD,556,.,.,null,2,1,null,null,null,null,0,1,19,5,99,99,"-51.7263385, -72.5042138",4,3.Centro,30-12-1899 19:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 19:05:00,30-12-1899 0:05:00,null,4,1,30-12-1899 19:02:30,3,3,"27,547",,,,,,,,
10031,5,1,3,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,2,1,null,null,null,null,0,3,7,55,13,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 7:50:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 7:55:00,30-12-1899 0:05:00,null,1,1,30-12-1899 7:52:30,3,2,"14,912",,,,,,,,
10031,5,2,7,3,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,2,1,null,null,null,null,0,1,13,5,13,50,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 13:05:00,30-12-1899 0:05:00,null,3,1,30-12-1899 13:02:30,3,3,"14,912",,,,,,,,
10031,5,3,3,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,2,1,null,null,null,null,0,3,13,55,16,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 13:50:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:55:00,30-12-1899 0:05:00,null,3,1,30-12-1899 13:52:30,3,2,"14,912",,,,,,,,
10031,5,4,7,3,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,AVENIDA LIBERTAD,556,.,.,null,2,1,null,null,null,null,0,1,16,10,18,50,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 16:00:00,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 16:10:00,30-12-1899 0:10:00,null,2,1,30-12-1899 16:05:00,3,3,"14,912",,,,,,,,
10031,5,5,8,null,,NATALES,AVENIDA LIBERTAD,556,.,.,NATALES,21 DE MAYO,921,GUACOLDA Y E. LILLO,CASA PARTICULAR,null,2,1,null,null,null,null,0,0,18,55,19,0,"-51.71930,-72.49615",7,1.Residencial Norte,30-12-1899 18:50:00,"-51.7336435, -72.4930546",38,5.Residencial Sur,30-12-1899 18:55:00,30-12-1899 0:05:00,null,4,1,30-12-1899 18:52:30,3,3,"14,912",,,,,,,,
